fold,component_id,family,config,threshold,persistence,healthy_windows,healthy_window_false_alarm_rate,healthy_trajectories,healthy_trajectory_false_alarm_rate,detection_rate,n_fault_runs,median_delay_sec,n_delay_valid,fa_pass,detection_pass,delay_pass,all_hard_gates_pass,selected,reason
0,combustion_chamber,FA-2,FA-2b,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
0,combustion_chamber,FA-2,FA-2c,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
0,nozzle,FA-1,FA-1a,4.0,3.0,404.0,0.0,4.0,0.0,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
0,nozzle,FA-1,FA-1b,4.0,3.0,404.0,0.0,4.0,0.0,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
0,nozzle,FA-1,FA-1c,12.0,3.0,404.0,0.04950495049504951,4.0,0.25,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
0,nozzle,FA-2,FA-2a,0.9,1.0,404.0,0.009900990099009901,4.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
0,nozzle,FA-2,FA-2b,0.9,1.0,404.0,0.009900990099009901,4.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
0,nozzle,FA-2,FA-2c,0.9,1.0,404.0,0.009900990099009901,4.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,lox_pump,FA-1,FA-1a,5.0,1.0,505.0,0.02574257425742574,5.0,0.2,1.0,1.0,84.9,1.0,True,True,False,False,True,
1,lox_pump,FA-1,FA-1b,4.0,1.0,505.0,0.0,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,lox_pump,FA-1,FA-1c,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
1,lox_pump,FA-2,FA-2a,0.7,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,lox_pump,FA-2,FA-2b,0.5,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,lox_pump,FA-2,FA-2c,0.5,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,oxygen_turbine,FA-1,FA-1a,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
1,oxygen_turbine,FA-1,FA-1b,4.0,3.0,505.0,0.0,5.0,0.0,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
1,oxygen_turbine,FA-1,FA-1c,12.0,1.0,505.0,0.04356435643564356,5.0,0.2,0.0,1.0,,0.0,True,False,,False,True,
1,oxygen_turbine,FA-2,FA-2a,0.5,2.0,505.0,0.009900990099009901,5.0,0.0,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
1,oxygen_turbine,FA-2,FA-2b,0.3,2.0,505.0,0.009900990099009901,5.0,0.0,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
1,oxygen_turbine,FA-2,FA-2c,0.3,2.0,505.0,0.009900990099009901,5.0,0.0,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
1,kerosene_pipeline,FA-1,FA-1a,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
1,kerosene_pipeline,FA-1,FA-1b,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
1,kerosene_pipeline,FA-1,FA-1c,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
1,kerosene_pipeline,FA-2,FA-2a,0.7,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,kerosene_pipeline,FA-2,FA-2b,0.5,1.0,505.0,0.04356435643564356,5.0,0.4,1.0,1.0,2.9000000000000057,1.0,True,True,True,True,True,
1,kerosene_pipeline,FA-2,FA-2c,0.5,1.0,505.0,0.04554455445544554,5.0,0.4,1.0,1.0,2.9000000000000057,1.0,True,True,True,True,True,
1,kerosene_valve,FA-1,FA-1a,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
1,kerosene_valve,FA-1,FA-1b,4.0,3.0,505.0,0.0,5.0,0.0,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
1,kerosene_valve,FA-1,FA-1c,6.0,1.0,505.0,0.041584158415841586,5.0,0.6,0.0,1.0,,0.0,True,False,,False,True,
1,kerosene_valve,FA-2,FA-2a,0.5,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,kerosene_valve,FA-2,FA-2b,0.5,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,kerosene_valve,FA-2,FA-2c,0.5,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,gas_generator,FA-1,FA-1a,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
