fold,component_id,family,config,selected,mae,r2,hit_at_010,n_windows,healthy_windows,healthy_window_false_alarm_rate,healthy_trajectories,healthy_trajectory_false_alarm_rate
0,kerosene_valve,CH-2,CH-2a@z3.0,True,0.05213759192802446,0.6200605360293575,0.848960543063216,4714,404,0.0,4,0.0
0,kerosene_valve,CH-2,CH-2a@z4.0,True,0.05206970999891338,0.6200869737351791,0.8490566037735849,4717,404,0.0,4,0.0
0,kerosene_valve,CH-2,CH-2a@z5.0,True,0.05203135588040989,0.620089611858092,0.8490566037735849,4717,404,0.0,4,0.0
0,kerosene_valve,CH-2,CH-2b@z3.0,True,0.055034493383556614,0.617923945798455,0.8434650455927052,4606,404,0.0,4,0.0
0,kerosene_valve,CH-2,CH-2b@z4.0,True,0.05501669228633014,0.6179254355871202,0.8434650455927052,4606,404,0.0,4,0.0
0,kerosene_valve,CH-2,CH-2b@z5.0,True,0.0549970530791025,0.6179273819049107,0.8434650455927052,4606,404,0.0,4,0.0
0,kerosene_valve,CH-2,CH-2c@z3.0,True,0.055034493383556614,0.617923945798455,0.8434650455927052,4606,404,0.0,4,0.0
0,kerosene_valve,CH-2,CH-2c@z4.0,True,0.05501669228633014,0.6179254355871202,0.8434650455927052,4606,404,0.0,4,0.0
0,kerosene_valve,CH-2,CH-2c@z5.0,True,0.0549970530791025,0.6179273819049107,0.8434650455927052,4606,404,0.0,4,0.0
0,gas_generator,CH-1,CH-1a,False,0.26986032266766613,-1.221108357956652,0.5180199739470256,4606,404,0.5321782178217822,4,0.75
0,gas_generator,CH-1,CH-1b,False,0.08156366033273457,0.709857673525882,0.7720364741641338,4606,404,0.2376237623762376,4,0.25
0,gas_generator,CH-1,CH-1c,False,0.08156366033273457,0.709857673525882,0.7720364741641338,4606,404,0.2376237623762376,4,0.25
0,gas_generator,CH-2,CH-2a@z3.0,False,0.07385413605967067,0.5279201121966967,0.8473672990833511,4691,404,0.2202970297029703,4,0.25
0,gas_generator,CH-2,CH-2a@z4.0,True,0.0830372391942964,0.3329562013393609,0.8654622741764081,4705,404,0.0,4,0.0
0,gas_generator,CH-2,CH-2a@z5.0,True,0.08465074445239143,0.30026710766195486,0.867375132837407,4705,404,0.0,4,0.0
