component_id,chosen_config,candidate_mae,candidate_r2,candidate_hit,incumbent_mae,incumbent_r2,incumbent_hit,healthy_window_fa_candidate,bootstrap_mae_diff,bootstrap_mae_ci,bootstrap_r2_diff,bootstrap_r2_ci,bootstrap_hit_diff,bootstrap_hit_ci,fold_mae_directions,direction_consistent_2of3,fa_pass,paired_pass,upgrade_approved
lox_pump,CH-1b,0.006324767051834373,0.9833290558632731,0.9767875722024899,0.03977610593849442,0.9510949761560787,0.9936451448906964,0.0,0.03261010614262543,"{""diff_point"": 0.03261010614262543, ""diff_ci_low"": 0.029930655140041246, ""diff_ci_high"": 0.036592727591122684, ""n_runs"": 281}",0.03465914442018758,"{""diff_point"": 0.03465914442018758, ""diff_ci_low"": 0.01930481628745001, ""diff_ci_high"": 0.06298859497181285, ""n_runs"": 281}",-0.01893339908583902,"{""diff_point"": -0.01893339908583902, ""diff_ci_low"": -0.03217038374767164, ""diff_ci_high"": -0.003438257153400579, ""n_runs"": 281}",+0.0312|+0.0326|+0.0368,True,True,False,False
oxygen_turbine,CH-2b@z4.0,0.039733628647619076,0.7870219700446225,0.9073766945486011,0.10063881908646166,0.6214397239881659,0.5751325441208512,0.0,0.0586059117355522,"{""diff_point"": 0.0586059117355522, ""diff_ci_low"": 0.05032017283560172, ""diff_ci_high"": 0.07127230872124779, ""n_runs"": 281}",0.14964699298546902,"{""diff_point"": 0.14964699298546902, ""diff_ci_low"": 0.06985904368772053, ""diff_ci_high"": 0.32624498746493913, ""n_runs"": 281}",0.32211617490628386,"{""diff_point"": 0.32211617490628386, ""diff_ci_low"": 0.2745767787647591, ""diff_ci_high"": 0.38901962361260495, ""n_runs"": 281}",+0.0605|+0.0723|+0.0489,True,True,True,True
kerosene_pipeline,CH-2a@z5.0,0.051918871686073884,0.48637627203869793,0.8650276144664173,0.10101871948596544,0.14409679703469025,0.7533226813857216,0.0,0.0511313371055989,"{""diff_point"": 0.0511313371055989, ""diff_ci_low"": 0.03530156699513581, ""diff_ci_high"": 0.06317205278319175, ""n_runs"": 281}",0.3515087415497691,"{""diff_point"": 0.3515087415497691, ""diff_ci_low"": 0.1364813896912801, ""diff_ci_high"": 0.7228751129962497, ""n_runs"": 281}",0.12309873378684666,"{""diff_point"": 0.12309873378684666, ""diff_ci_low"": 0.06055329850929066, ""diff_ci_high"": 0.1650702232025585, ""n_runs"": 281}",+0.0465|+0.0531|+0.0475,True,True,True,True
kerosene_valve,CH-2a@z5.0,0.06015543116425802,0.512310634140925,0.8439293991798895,0.11484875180821401,0.008000671036402007,0.6763018374609631,0.0,0.05594091650855687,"{""diff_point"": 0.05594091650855687, ""diff_ci_low"": 0.03706665904673386, ""diff_ci_high"": 0.0728987883637235, ""n_runs"": 281}",0.5145238028488917,"{""diff_point"": 0.5145238028488917, ""diff_ci_low"": 0.19384284451808698, ""diff_ci_high"": 1.059213879397667, ""n_runs"": 281}",0.15981326727797251,"{""diff_point"": 0.15981326727797251, ""diff_ci_low"": 0.10849193339016158, ""diff_ci_high"": 0.22501544146736063, ""n_runs"": 281}",+0.0653|+0.0499|+0.0483,True,True,True,True
gas_generator,CH-2a@z4.0,0.08742897867824556,0.20613543751099117,0.8433820906171958,0.16476725657381291,-0.23411964143355046,0.5700123465756409,0.0,0.0632403457897751,"{""diff_point"": 0.0632403457897751, ""diff_ci_low"": 0.049346210994774604, ""diff_ci_high"": 0.10402592389390626, ""n_runs"": 281}",0.13104015815222392,"{""diff_point"": 0.13104015815222392, ""diff_ci_low"": 0.053416631269031206, ""diff_ci_high"": 1.112528575623092, ""n_runs"": 281}",0.288796705263333,"{""diff_point"": 0.288796705263333, ""diff_ci_low"": 0.21131213455379097, ""diff_ci_high"": 0.33174357128731685, ""n_runs"": 281}",+0.0935|+0.0838|+0.0524,True,True,True,True
combustion_chamber,CH-2a@z5.0,0.021408033279573208,0.9195301608827009,0.932609161723719,0.05211796241475957,0.866367135413666,0.8504248674558792,0.0,0.036483571507328734,"{""diff_point"": 0.036483571507328734, ""diff_ci_low"": 0.022532740747667864, ""diff_ci_high"": 0.0387534639840458, ""n_runs"": 281}",0.06638393126662157,"{""diff_point"": 0.06638393126662157, ""diff_ci_low"": 0.011214003337051439, ""diff_ci_high"": 0.10636460947077603, ""n_runs"": 281}",0.11033820958862262,"{""diff_point"": 0.11033820958862262, ""diff_ci_low"": 0.04205303957468211, ""diff_ci_high"": 0.1221381031405147, ""n_runs"": 281}",+0.0298|+0.0305|+0.0319,True,True,True,True
nozzle,CH-2a@z5.0,0.025779458058259357,0.7524248761982155,0.946838875410304,0.0653844034069456,0.7120275329400341,0.8627714430968116,0.0,0.04396387996413427,"{""diff_point"": 0.04396387996413427, ""diff_ci_low"": 0.03256787112329698, ""diff_ci_high"": 0.04587553747993924, ""n_runs"": 281}",0.11051174124569185,"{""diff_point"": 0.11051174124569185, ""diff_ci_low"": -0.0328334083682796, ""diff_ci_high"": 0.13601133012333777, ""n_runs"": 281}",0.08455657549725526,"{""diff_point"": 0.08455657549725526, ""diff_ci_low"": 0.04967353158164134, ""diff_ci_high"": 0.11972517710789576, ""n_runs"": 281}",+0.0428|+0.0394|+0.0363,True,True,True,True
