component_id,mae,mae_ci_low,mae_ci_high,n_runs,r2,r2_ci_low,r2_ci_high,hit_at_010,hit_at_010_ci_low,hit_at_010_ci_high
lox_pump,0.032326101137409975,0.023922459934325395,0.0421225476105933,37,0.9763003026185015,0.9523725166112998,0.9913286481607997,0.9605626034197463,0.9114658025372311,0.9928364589078875
oxygen_turbine,0.14043412993254759,0.09816013902408566,0.18544425269368173,47,0.6889213045685753,0.4741485374655231,0.8470004350610357,0.6430423509075195,0.5166430549171332,0.7604156274042174
kerosene_pipeline,0.19139751862131427,0.15143134096778352,0.23201377080082342,37,0.5765692104320026,0.3319839814744854,0.7315062049381047,0.34084661902144037,0.20476377212027716,0.4739355445236252
kerosene_valve,0.25821517655513543,0.20604505785148086,0.31116454320433223,37,0.22503808252229718,-0.12716721773727582,0.41365367144672666,0.2637211855104281,0.1431244858788045,0.400553408907672
gas_generator,0.36032258564591,0.269708222842845,0.4538655423722594,47,-0.5473883448368906,-1.2713106882492573,-0.05548839558126629,0.3536480686695279,0.22480821992345576,0.48187920109673416
combustion_chamber,0.10735809962162314,0.07529176965054038,0.143296707814764,47,0.8125904919025168,0.667736273936168,0.8943694001871089,0.6085363224832938,0.48329327243515374,0.7319165237938928
nozzle,0.1603680847911593,0.10262386265702518,0.2307621195363517,37,0.5362173763466669,0.15788963109425622,0.7933258858886538,0.6678512848551121,0.5182581812571821,0.8031583968692599
