component_id,healthy_windows,healthy_window_false_alarm_rate,healthy_trajectories,healthy_trajectory_false_alarm_rate,n_fault_runs,n_detected,detection_rate,median_delay_sec,n_delay_valid
lox_pump,2828,0.1768033946251768,28,0.21428571428571427,6,6,1.0,0.8999999999999915,6
oxygen_turbine,2828,0.1905940594059406,28,0.25,6,5,0.8333333333333334,0.8999999999999773,5
kerosene_pipeline,2828,0.1898868458274399,28,0.2857142857142857,6,6,1.0,44.900000000000006,6
kerosene_valve,2828,0.19413012729844414,28,0.21428571428571427,6,5,0.8333333333333334,0.9000000000000057,5
gas_generator,2828,0.17644978783592644,28,0.21428571428571427,6,2,0.3333333333333333,88.9,2
combustion_chamber,2828,0.21004243281471005,28,0.32142857142857145,6,4,0.6666666666666666,88.9,4
nozzle,2828,0.21463932107496464,28,0.25,6,6,1.0,44.900000000000006,6
