source,scope,n_runs,target_top1_accuracy,target_top3_rate,median_localization_margin
cdpca_1minus_hi,isolated_degradation,147,0.6802721088435374,0.9115646258503401,0.059602684221161106
cdpca_1minus_hi,fault,42,0.23809523809523808,0.5476190476190477,0.0981314968231517
ae_anomaly,isolated_degradation,147,0.3129251700680272,0.8503401360544217,0.0
ae_anomaly,fault,42,0.047619047619047616,0.38095238095238093,0.03486500291509098
