component_id,n_healthy_runs_mode_total,n_fault_runs_total,n_degradation_runs_total,n_compound_runs_total,n_sensor_fault_runs_total,n_target_regression_windows,calibration_decile_mae_max,cdpca_healthy_median_min,cdpca_healthy_collapse_runs,n_collapse_runs,fa_healthy_window_rate,fa_detection_rate,fa_median_delay_sec
lox_pump,28,42,147,50,14,3737,0.04265532571038715,0.9610310335252499,,0,0.1768033946251768,1.0,0.8999999999999915
oxygen_turbine,28,42,147,50,14,4747,0.1593221902131954,0.8934122444713584,3,1,0.1905940594059406,0.8333333333333334,0.8999999999999773
kerosene_pipeline,28,42,147,50,14,3737,0.17089257035610889,0.9621507144492389,,0,0.1898868458274399,1.0,44.900000000000006
kerosene_valve,28,42,147,50,14,3737,0.18667753512628024,0.9712212415989299,,0,0.19413012729844414,0.8333333333333334,0.9000000000000057
gas_generator,28,42,147,50,14,4747,0.29812782483297423,0.9473737629679374,9|13|14|16|19|20|29|34|35|39|40,11,0.17644978783592644,0.3333333333333333,88.9
combustion_chamber,28,42,147,50,14,4747,0.11262104227112145,0.9752989371682822,,0,0.21004243281471005,0.6666666666666666,88.9
nozzle,28,42,147,50,14,3737,0.28892567370257,0.953838365499336,,0,0.21463932107496464,1.0,44.900000000000006
