split,mode,n_windows,n_trajectories,n_regression_windows,mae,rmse,r2,pearson,hit_at_010,alarm_window_rate,alarm_trajectory_rate,healthy_window_false_alarm_rate,healthy_trajectory_false_alarm_rate,crosstalk_alarm_rate,denominator_note,component_id,detection_rate,median_delay_from_injection_sec,n_delay_valid,median_delay_from_observable_sec,n_delay_observable_valid
train_oof,degradation,14847,147,2058,0.15362407520888008,0.22353985403380647,0.6369450226145537,0.8384160927469687,0.5077745383867833,0.33555600458004986,0.3741496598639456,,,0.2858714442872859,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),gas_generator,,,,,
train_oof,fault,4242,42,588,0.16910120536392734,0.2728100122237889,0.45567466877374485,0.6848221218489041,0.6394557823129252,0.21664309288071665,0.5,,,0.2037953795379538,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),gas_generator,0.3333333333333333,7.8999999999999915,2.0,7.0,2.0
train_oof,healthy,2828,28,0,,,,,,0.3712871287128713,0.42857142857142855,0.3712871287128713,0.42857142857142855,,no regression sample (non-target or all-NaN truth); false alarm over healthy windows / healthy trajectories,gas_generator,,,,,
train_oof,sensor_fault,1414,14,0,,,,,,0.27157001414427157,0.2857142857142857,,,,no regression sample (non-target or all-NaN truth),gas_generator,,,,,
train_oof,compound_degradation,5050,50,1960,0.12594600017117688,0.17122145144068376,0.7982559669706628,0.9567748648202679,0.4627551020408163,0.33524752475247527,0.4,,,0.11551155115511551,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),combustion_chamber,0.75,,0.0,,0.0
train_oof,degradation,14847,147,2058,0.023418654929201872,0.03466574083412259,0.9896317506296745,0.9974293854940408,1.0,0.1734357109180306,0.20408163265306123,,,0.06702813138456702,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),combustion_chamber,,,,,
train_oof,fault,4242,42,588,0.06041025870920809,0.15964021589394298,0.7601216065920348,0.8745830472866333,0.8775510204081632,0.040782649693540785,0.19047619047619047,,,0.0121012101210121,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),combustion_chamber,0.5,8.899999999999977,3.0,8.0,3.0
train_oof,healthy,2828,28,0,,,,,,0.0,0.0,0.0,0.0,,no regression sample (non-target or all-NaN truth); false alarm over healthy windows / healthy trajectories,combustion_chamber,,,,,
train_oof,sensor_fault,1414,14,0,,,,,,0.039603960396039604,0.07142857142857142,,,,no regression sample (non-target or all-NaN truth),combustion_chamber,,,,,
train_oof,compound_degradation,5050,50,980,0.3200688499853462,0.3833422810741295,0.021185380678902743,0.8754847880708517,0.2,0.12435643564356436,0.14,,,0.03663366336633663,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),nozzle,0.5,,0.0,,0.0
train_oof,degradation,14847,147,2058,0.028056665456398965,0.03452730866296383,0.9905047498357846,0.9978265592463893,1.0,0.10870883006668014,0.11564625850340136,,,0.013672795851013672,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),nozzle,,,,,
train_oof,fault,4242,42,588,0.09849500066117627,0.19752628113465015,0.719949724434502,0.866417668913805,0.8469387755102041,0.09618104667609619,0.5238095238095238,,,0.07150715071507151,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),nozzle,0.5,4.900000000000006,3.0,4.0,3.0
train_oof,healthy,2828,28,0,,,,,,0.0,0.0,0.0,0.0,,no regression sample (non-target or all-NaN truth); false alarm over healthy windows / healthy trajectories,nozzle,,,,,
train_oof,sensor_fault,1414,14,0,,,,,,0.0,0.0,,,,no regression sample (non-target or all-NaN truth),nozzle,,,,,
